Country; IN ;OUT
Afghanistan; 78,384 ; 2,655,055 
Albania; 121 ; 12,919 
Algeria; 177,881 ; 4,236 
Angola; 37,933 ; 8,372 
Antigua and Barbuda; 1 ; 105 
Argentina; 3,378 ; 113 
Armenia; 17,996 ; 10,938 
Australia; 52,729 ; 13 
Austria; 122,462 ; -   
Azerbaijan; 1,114 ; 11,158 
Bahamas; 14 ; 398 
Bahrain; 256 ; 529 
Bangladesh; 943,240 ; 19,298 
Barbados; 1 ; 197 
Belarus; 2,677 ; 3,654 
Belgium; 59,208 ; 51 
Belize; 28 ; 66 
Benin; 1,149 ; 649 
Bhutan; -   ; 7,313 
Bolivia; 828 ; 523 
Bosnia and Herzegovina; 5,229 ; 17,619 
Botswana; 2,081 ; 289 
Brazil; 10,850 ; 945 
Bulgaria; 19,562 ; 683 
Burkina Faso; 24,798 ; 10,303 
Burundi; 67,963 ; 403,153 
Cambodia; 67 ; 12,145 
Cameroon; 360,162 ; 35,152 
Canada; 110,123 ; 84 
Central African Republic; 9,079 ; 580,594 
Chad; 445,777 ; 11,727 
Chile; 2,032 ; 482 
China; 321,746 ; 223,358 
Colombia; 282 ; 192,438 
Comoros; -   ; 606 
Congo; 40,740 ; 13,516 
Costa Rica; 4,600 ; 202 
Croatia; 608 ; 24,906 
Cuba; 282 ; 5,421 
Cyprus; 10,198 ; -   
Czech Republic; 3,644 ; 1,281 
Dem People's Rep of Korea; -   ; 1,019 
Democratic Republic of the Congo; 535,730 ; 686,118 
Denmark; 36,100 ; -   
Djibouti; 17,302 ; 2,034 
Dominican Republic; 583 ; 443 
Ecuador; 93,822 ; 1,339 
Egypt; 239,741 ; 23,488 
El Salvador; 48 ; 28,691 
Equatorial Guinea; -   ; 141 
Eritrea; 2,215 ; 495,797 
Estonia; 403 ; 285 
Ethiopia; 920,961 ; 89,620 
Fiji; 4 ; 707 
Finland; 21,599 ; -   
France; 355,222 ; 59 
Gabon; 833 ; 300 
Gambia; 8,487 ; 16,416 
Georgia; 2,019 ; 6,736 
Germany; 1,021,706 ; 69 
Ghana; 11,940 ; 17,744 
Greece; 55,565 ; 105 
Grenada; 2 ; 102 
Guatemala; 390 ; 17,900 
Guinea; 4,906 ; 23,084 
Guinea-Bissau; 11,151 ; 1,985 
Guyana; 14 ; 272 
Haiti; 6 ; 28,056 
Honduras; 27 ; 16,039 
Hong Kong; 106 ; 14 
Hungary; 5,983 ; 3,748 
Iceland; 439 ; -   
India; 196,966 ; 8,609 
Indonesia; 11,031 ; 12,337 
Iran  (Islamic Republic of); 979,435 ; 124,783 
Iraq; 281,905 ; 372,304 
Ireland; 6,405 ; -   
Israel; 17,958 ; 507 
Italy; 180,829 ; 61 
Ivory Coast; 1,714 ; 39,055 
Jamaica; 15 ; 2,372 
Japan; 1,972 ; 48 
Jordan; 705,762 ; 2,319 
Kazakhstan; 589 ; 2,522 
Kenya; 410,732 ; 7,503 
Kuwait; 620 ; 1,122 
Kyrgyzstan; 339 ; 2,853 
Lao People's Democratic Republic; -   ; 6,984 
Latvia; 655 ; 152 
Lebanon; 974,629 ; 5,598 
Lesotho; 79 ; 12 
Liberia; 9,529 ; 5,643 
Libya; 9,365 ; 12,724 
Liechtenstein; 169 ; -   
Lithuania; 1,674 ; 69 
Luxembourg; 2,046 ; -   
Madagascar; 44 ; 296 
Malawi; 13,660 ; 438 
Malaysia; 112,654 ; 650 
Maldives; -   ; 69 
Mali; 24,366 ; 160,213 
Malta; 8,218 ; -   
Mauritania; 84,078 ; 36,679 
Mauritius; 4 ; 148 
Mexico; 9,143 ; 12,316 
Moldova, Republic of; 404 ; 2,397 
Mongolia; 7 ; 2,239 
Montenegro; 835 ; 729 
Morocco; 5,069 ; 3,607 
Mozambique; 4,993 ; 55 
Myanmar; -   ; 1,173,772 
Namibia; 2,182 ; 1,359 
Nauru; 687 ; -   
Nepal; 20,949 ; 8,487 
Netherlands; 102,899 ; 46 
New Zealand; 1,550 ; 38 
Nicaragua; 328 ; 1,501 
Niger; 177,286 ; 1,613 
Nigeria; 25,426 ; 267,009 
Norway; 58,107 ; 10 
Oman; 309 ; 38 
Pakistan; 1,397,629 ; 134,633 
Panama; 2,467 ; 47 
Papua New Guinea; 9,880 ; 430 
Paraguay; 217 ; 77 
Peru; 1,978 ; 2,582 
Philippines; 574 ; 490 
Poland; 12,381 ; 1,085 
Portugal; 1,835 ; 18 
Qatar; 189 ; 35 
Republic of Korea; 2,379 ; 242 
Romania; 4,072 ; 1,217 
Russian Federation; 104,644 ; 61,934 
Rwanda; 148,055 ; 248,698 
Saint Lucia; 2 ; 1,009 
Saint Vincent and the Grenadines; -   ; 1,279 
Saudi Arabia; 158 ; 1,394 
Senegal; 14,686 ; 28,165 
Serbia; 30,935 ; 32,983 
Sierra Leone; 686 ; 4,732 
Singapore; -   ; 48 
Slovakia; 934 ; 1,090 
Slovenia; 666 ; 21 
Somalia; 15,426 ; 954,701 
South Africa; 89,285 ; 476 
South Sudan; 297,150 ; 2,214,595 
Spain; 18,631 ; 45 
Sri Lanka; 802 ; 114,602 
Sudan; 908,692 ; 719,222 
Suriname; 47 ; 19 
Swaziland; 849 ; 238 
Sweden; 242,725 ; 20 
Switzerland; 98,530 ; -   
Syrian Arab Republic; 18,490 ; 6,490,950 
Tajikistan; 2,647 ; 1,596 
Thailand; 102,223 ; 179 
The former Yugoslav Republic of Macedonia; 421 ; 1,765 
Togo; 12,426 ; 8,149 
Trinidad and Tobago; 311 ; 313 
Tunisia; 877 ; 1,931 
Turkey; 3,621,264 ; 65,754 
Turkmenistan; 23 ; 414 
Turks and Caicos Islands; 5 ; 16 
U.K. of Great Britain and Northern Ireland; 124,018 ; 84 
Uganda; 1,131,545 ; 6,630 
Ukraine; 3,225 ; 119,832 
United Arab Emirates; 969 ; 161 
United Republic of Tanzania; 295,866 ; 724 
United States of America; 299,653 ; 322 
Uruguay; 344 ; 19 
Uzbekistan; 14 ; 3,380 
Venezuela; 122,874 ; 12,664 
Viet Nam; -   ; 334,317 
West Bank; -   ; 101,125 
Western Sahara; -   ; 200,333 
Yemen; 271,554 ; 26,793 
Zambia; 45,870 ; 283 
Zimbabwe; 7,707 ; 16,482 
