Country; IN ;OUT;ISO
Afghanistan; 78,384 ; 2,655,055 ;AFG
Albania; 121 ; 12,919 ;ALB
Algeria; 177,881 ; 4,236 ;DZA
Angola; 37,933 ; 8,372 ;AGO
Antigua and Barbuda; 1 ; 105 ;ATG
Argentina; 3,378 ; 113 ;ARG
Armenia; 17,996 ; 10,938 ;ARM
Australia; 52,729 ; 13 ;AUS
Austria; 122,462 ; -   ;AUT
Azerbaijan; 1,114 ; 11,158 ;AZE
Bahamas; 14 ; 398 ;BHS
Bahrain; 256 ; 529 ;BHR
Bangladesh; 943,240 ; 19,298 ;BGD
Barbados; 1 ; 197 ;BRB
Belarus; 2,677 ; 3,654 ;BLR
Belgium; 59,208 ; 51 ;BEL
Belize; 28 ; 66 ;BLZ
Benin; 1,149 ; 649 ;BEN
Bhutan; -   ; 7,313 ;BTN
Bolivia; 828 ; 523 ;BOL
Bosnia and Herzegovina; 5,229 ; 17,619 ;BIH
Botswana; 2,081 ; 289 ;BWA
Brazil; 10,850 ; 945 ;BRA
Bulgaria; 19,562 ; 683 ;BGR
Burkina Faso; 24,798 ; 10,303 ;BFA
Burundi; 67,963 ; 403,153 ;BDI
Cambodia; 67 ; 12,145 ;KHM
Cameroon; 360,162 ; 35,152 ;CMR
Canada; 110,123 ; 84 ;CAN
Central African Republic; 9,079 ; 580,594 ;CAF
Chad; 445,777 ; 11,727 ;TCD
Chile; 2,032 ; 482 ;CHL
China; 321,746 ; 223,358 ;CHN
Colombia; 282 ; 192,438 ;COL
Comoros; -   ; 606 ;COM
Congo; 40,740 ; 13,516 ;COG
Costa Rica; 4,600 ; 202 ;CRI
Croatia; 608 ; 24,906 ;HRV
Cuba; 282 ; 5,421 ;CUB
Cyprus; 10,198 ; -   ;CYP
Czech Republic; 3,644 ; 1,281 ;CZE
Dem People's Rep of Korea; -   ; 1,019 ;PRK
Democratic Republic of the Congo; 535,730 ; 686,118 ;COD
Denmark; 36,100 ; -   ;DNK
Djibouti; 17,302 ; 2,034 ;DJI
Dominican Republic; 583 ; 443 ;DOM
Ecuador; 93,822 ; 1,339 ;ECU
Egypt; 239,741 ; 23,488 ;EGY
El Salvador; 48 ; 28,691 ;SLV
Equatorial Guinea; -   ; 141 ;GNQ
Eritrea; 2,215 ; 495,797 ;ERI
Estonia; 403 ; 285 ;EST
Ethiopia; 920,961 ; 89,620 ;ETH
Fiji; 4 ; 707 ;FJI
Finland; 21,599 ; -   ;FIN
France; 355,222 ; 59 ;FRA
Gabon; 833 ; 300 ;GAB
Gambia; 8,487 ; 16,416 ;GMB
Georgia; 2,019 ; 6,736 ;GEO
Germany; 1,021,706 ; 69 ;DEU
Ghana; 11,940 ; 17,744 ;GHA
Greece; 55,565 ; 105 ;GRC
Grenada; 2 ; 102 ;GRD
Guatemala; 390 ; 17,900 ;GTM
Guinea; 4,906 ; 23,084 ;GIN
Guinea-Bissau; 11,151 ; 1,985 ;GNB
Guyana; 14 ; 272 ;GUY
Haiti; 6 ; 28,056 ;HTI
Honduras; 27 ; 16,039 ;HND
Hong Kong; 106 ; 14 ;HKG
Hungary; 5,983 ; 3,748 ;HUN
Iceland; 439 ; -   ;ISL
India; 196,966 ; 8,609 ;IND
Indonesia; 11,031 ; 12,337 ;IDN
Iran  (Islamic Republic of); 979,435 ; 124,783 ;IRN
Iraq; 281,905 ; 372,304 ;IRQ
Ireland; 6,405 ; -   ;IRL
Israel; 17,958 ; 507 ;ISR
Italy; 180,829 ; 61 ;ITA
Ivory Coast; 1,714 ; 39,055 ;CIV
Jamaica; 15 ; 2,372 ;JAM
Japan; 1,972 ; 48 ;JPN
Jordan; 705,762 ; 2,319 ;JOR
Kazakhstan; 589 ; 2,522 ;KAZ
Kenya; 410,732 ; 7,503 ;KEN
Kuwait; 620 ; 1,122 ;KWT
Kyrgyzstan; 339 ; 2,853 ;KGZ
Lao People's Democratic Republic; -   ; 6,984 ;LAO
Latvia; 655 ; 152 ;LVA
Lebanon; 974,629 ; 5,598 ;LBN
Lesotho; 79 ; 12 ;LSO
Liberia; 9,529 ; 5,643 ;LBR
Libya; 9,365 ; 12,724 ;LBY
Liechtenstein; 169 ; -   ;LIE
Lithuania; 1,674 ; 69 ;LTU
Luxembourg; 2,046 ; -   ;LUX
