Year,Country of Origin (ISO),Country of Origin,Country of Asylum,Country of Asylum (ISO),Country of Resettlement (ISO),Country of Resettlement,Total departures (persons)
"2015,AFG,""Afghanistan"",-,""-"",DNK,""Denmark"",14"
"2015,SDN,""Sudan"",-,""-"",GBR,""United Kingdom of Great Britain and Northern Ireland"",68"
"2015,SOM,""Somalia"",-,""-"",NZL,""New Zealand"",34"
"2015,IRQ,""Iraq"",-,""-"",NLD,""Netherlands"",3"
"2015,SOM,""Somalia"",-,""-"",FRA,""France"",10"
"2015,ERI,""Eritrea"",-,""-"",CAN,""Canada"",608"
"2015,ERI,""Eritrea"",-,""-"",NZL,""New Zealand"",2"
"2015,SDN,""Sudan"",-,""-"",SWE,""Sweden"",17"
"2015,COD,""Dem. Rep. of the Congo"",-,""-"",IRL,""Ireland"",2"
"2015,SYR,""Syrian Arab Rep."",-,""-"",CHE,""Switzerland"",548"
"2015,AFG,""Afghanistan"",-,""-"",FRA,""France"",16"
"2015,SOM,""Somalia"",-,""-"",SWE,""Sweden"",332"
"2015,IRQ,""Iraq"",-,""-"",DEU,""Germany"",55"
"2015,SYR,""Syrian Arab Rep."",-,""-"",LIE,""Liechtenstein"",17"
"2015,COD,""Dem. Rep. of the Congo"",-,""-"",NOR,""Norway"",187"
"2015,ERI,""Eritrea"",-,""-"",FIN,""Finland"",7"
"2015,SOM,""Somalia"",-,""-"",NLD,""Netherlands"",1"
"2015,SDN,""Sudan"",-,""-"",AUS,""Australia"",18"
"2015,SOM,""Somalia"",-,""-"",DNK,""Denmark"",16"
"2015,MMR,""Myanmar"",-,""-"",NZL,""New Zealand"",233"
"2015,SYR,""Syrian Arab Rep."",-,""-"",BRA,""Brazil"",2"
"2015,BTN,""Bhutan"",-,""-"",AUS,""Australia"",312"
"2015,IRN,""Iran (Islamic Rep. of)"",-,""-"",SWE,""Sweden"",5"
"2015,BTN,""Bhutan"",-,""-"",USA,""United States of America"",5558"
"2015,SYR,""Syrian Arab Rep."",-,""-"",ESP,""Spain"",92"
"2015,SYR,""Syrian Arab Rep."",-,""-"",USA,""United States of America"",2187"
"2015,COD,""Dem. Rep. of the Congo"",-,""-"",USA,""United States of America"",8645"
"2015,AFG,""Afghanistan"",-,""-"",CAN,""Canada"",365"
"2015,COD,""Dem. Rep. of the Congo"",-,""-"",BEL,""Belgium"",88"
"2015,BTN,""Bhutan"",-,""-"",NOR,""Norway"",10"
"2015,IRN,""Iran (Islamic Rep. of)"",-,""-"",CHE,""Switzerland"",3"
"2015,SYR,""Syrian Arab Rep."",-,""-"",NZL,""New Zealand"",67"
"2015,AFG,""Afghanistan"",-,""-"",NLD,""Netherlands"",5"
"2015,MMR,""Myanmar"",-,""-"",CAN,""Canada"",363"
"2015,SDN,""Sudan"",-,""-"",NZL,""New Zealand"",3"
"2015,SYR,""Syrian Arab Rep."",-,""-"",SWE,""Sweden"",677"
"2015,SOM,""Somalia"",-,""-"",AUT,""Austria"",21"
"2015,SYR,""Syrian Arab Rep."",-,""-"",CAN,""Canada"",3061"
"2015,AFG,""Afghanistan"",-,""-"",FIN,""Finland"",134"
"2015,IRQ,""Iraq"",-,""-"",CHE,""Switzerland"",89"
"2015,MMR,""Myanmar"",-,""-"",JPN,""Japan"",19"
"2015,SYR,""Syrian Arab Rep."",-,""-"",ITA,""Italy"",96"
"2015,AFG,""Afghanistan"",-,""-"",AUS,""Australia"",1061"
"2015,ERI,""Eritrea"",-,""-"",DEU,""Germany"",177"
"2015,IRQ,""Iraq"",-,""-"",NOR,""Norway"",4"
"2015,SOM,""Somalia"",-,""-"",GBR,""United Kingdom of Great Britain and Northern Ireland"",163"
"2015,MMR,""Myanmar"",-,""-"",USA,""United States of America"",16675"
"2015,COD,""Dem. Rep. of the Congo"",-,""-"",GBR,""United Kingdom of Great Britain and Northern Ireland"",157"
"2015,IRN,""Iran (Islamic Rep. of)"",-,""-"",ALB,""Albania"",483"
"2015,COD,""Dem. Rep. of the Congo"",-,""-"",SWE,""Sweden"",217"
"2015,ERI,""Eritrea"",-,""-"",GBR,""United Kingdom of Great Britain and Northern Ireland"",17"
"2015,SYR,""Syrian Arab Rep."",-,""-"",GBR,""United Kingdom of Great Britain and Northern Ireland"",1208"
"2015,ERI,""Eritrea"",-,""-"",PRT,""Portugal"",4"
"2015,SYR,""Syrian Arab Rep."",-,""-"",AUT,""Austria"",621"
"2015,COD,""Dem. Rep. of the Congo"",-,""-"",NLD,""Netherlands"",74"
"2015,SDN,""Sudan"",-,""-"",DNK,""Denmark"",11"
"2015,COD,""Dem. Rep. of the Congo"",-,""-"",AUS,""Australia"",363"
"2015,SYR,""Syrian Arab Rep."",-,""-"",NOR,""Norway"",1669"
"2015,MMR,""Myanmar"",-,""-"",AUS,""Australia"",1180"
"2015,SDN,""Sudan"",-,""-"",NOR,""Norway"",20"
"2015,AFG,""Afghanistan"",-,""-"",USA,""United States of America"",1205"
"2015,MMR,""Myanmar"",-,""-"",NOR,""Norway"",5"
"2015,SDN,""Sudan"",-,""-"",FRA,""France"",6"
"2015,SOM,""Somalia"",-,""-"",FIN,""Finland"",25"
"2015,AFG,""Afghanistan"",-,""-"",NOR,""Norway"",239"
"2015,ERI,""Eritrea"",-,""-"",NOR,""Norway"",16"
"2015,IRQ,""Iraq"",-,""-"",CAN,""Canada"",2001"
"2015,SDN,""Sudan"",-,""-"",PRT,""Portugal"",8"
"2015,COD,""Dem. Rep. of the Congo"",-,""-"",DNK,""Denmark"",264"
"2015,SDN,""Sudan"",-,""-"",DEU,""Germany"",123"
"2015,IRN,""Iran (Islamic Rep. of)"",-,""-"",NLD,""Netherlands"",2"
"2015,IRN,""Iran (Islamic Rep. of)"",-,""-"",CAN,""Canada"",374"
"2015,IRQ,""Iraq"",-,""-"",IRL,""Ireland"",31"
"2015,SOM,""Somalia"",-,""-"",DEU,""Germany"",53"
"2015,AFG,""Afghanistan"",-,""-"",GBR,""United Kingdom of Great Britain and Northern Ireland"",4"
"2015,SYR,""Syrian Arab Rep."",-,""-"",HUN,""Hungary"",2"
"2015,IRQ,""Iraq"",-,""-"",DNK,""Denmark"",1"
"2015,SOM,""Somalia"",-,""-"",AUS,""Australia"",281"
"2015,SOM,""Somalia"",-,""-"",NOR,""Norway"",41"
"2015,BTN,""Bhutan"",-,""-"",NZL,""New Zealand"",53"
"2015,SYR,""Syrian Arab Rep."",-,""-"",AUS,""Australia"",167"
"2015,SYR,""Syrian Arab Rep."",-,""-"",ISL,""Iceland"",12"
"2015,IRN,""Iran (Islamic Rep. of)"",-,""-"",AUS,""Australia"",222"
