Extracted:,United Nations High Commissioner for Refugees
Date extracted:,29/06/2019 22:57:31
Last updated:,29/06/2019 22:57:31

Data table contains the following:,UNHCR resettlement departures
Years selected:,"2014, 2015, 2016, 2017, 2018, 2019"
2019 data (if included) as of:, April 2019
Country of origin:,"AFG,BTN,COD,ERI,IRN,IRQ,MMR,SOM,SDN,SYR"
Country of asylum:,""
Resettlement country:,"ALB,ARG,AUS,AUT,BLR,BEL,BRA,BGR,CAN,CHL,HRV,CYP,CZE,DNK,EST,FIN,FRA,DEU,HUN,ISL,IRL,ITA,JPN,LVA,LIE,LTU,LUX,MLT,MEX,MCO,NLD,NZL,NOR,PRY,POL,PRT,KOR,ROU,SVK,SVN,ESP,SWE,CHE,GBR,USA,URY"

Year,Country of Origin (ISO),Country of Origin,Country of Asylum,Country of Asylum (ISO),Country of Resettlement (ISO),Country of Resettlement,Total departures (persons)
2014,IRN,"Iran (Islamic Rep. of)",-,"-",SWE,"Sweden",7
2014,All others,"All others",-,"-",GBR,"United Kingdom of Great Britain and Northern Ireland",53
2014,BTN,"Bhutan",-,"-",USA,"United States of America",7335
2014,SYR,"Syrian Arab Rep.",-,"-",ESP,"Spain",30
2014,MMR,"Myanmar",-,"-",GBR,"United Kingdom of Great Britain and Northern Ireland",2
2014,SYR,"Syrian Arab Rep.",-,"-",USA,"United States of America",226
2014,COD,"Dem. Rep. of the Congo",-,"-",USA,"United States of America",4481
2014,All others,"All others",-,"-",SWE,"Sweden",144
2014,AFG,"Afghanistan",-,"-",CAN,"Canada",317
2014,All others,"All others",-,"-",BRA,"Brazil",42
2014,COD,"Dem. Rep. of the Congo",-,"-",BEL,"Belgium",6
2014,BTN,"Bhutan",-,"-",NOR,"Norway",6
2014,SYR,"Syrian Arab Rep.",-,"-",NZL,"New Zealand",1
2014,MMR,"Myanmar",-,"-",CAN,"Canada",395
2014,SDN,"Sudan",-,"-",NZL,"New Zealand",4
2014,BTN,"Bhutan",-,"-",AUS,"Australia",540
2014,SYR,"Syrian Arab Rep.",-,"-",SWE,"Sweden",420
2014,SOM,"Somalia",-,"-",AUT,"Austria",24
2014,SYR,"Syrian Arab Rep.",-,"-",CAN,"Canada",326
2014,COD,"Dem. Rep. of the Congo",-,"-",PRT,"Portugal",2
2014,AFG,"Afghanistan",-,"-",FIN,"Finland",234
2014,All others,"All others",-,"-",ISL,"Iceland",3
2014,IRQ,"Iraq",-,"-",CHE,"Switzerland",23
2014,MMR,"Myanmar",-,"-",JPN,"Japan",23
2014,AFG,"Afghanistan",-,"-",AUS,"Australia",1506
2014,IRQ,"Iraq",-,"-",NOR,"Norway",2
2014,SOM,"Somalia",-,"-",GBR,"United Kingdom of Great Britain and Northern Ireland",226
2014,MMR,"Myanmar",-,"-",USA,"United States of America",15358
2014,All others,"All others",-,"-",URY,"Uruguay",10
2014,All others,"All others",-,"-",CAN,"Canada",983
