Year,Country of Origin (ISO),Country of Origin,Country of Asylum,Country of Asylum (ISO),Country of Resettlement (ISO),Country of Resettlement,Total departures (persons)
"2016,IRQ,""Iraq"",-,""-"",SWE,""Sweden"",99"
"2016,AFG,""Afghanistan"",-,""-"",NZL,""New Zealand"",93"
"2016,BTN,""Bhutan"",-,""-"",CAN,""Canada"",108"
"2016,IRQ,""Iraq"",-,""-"",GBR,""United Kingdom of Great Britain and Northern Ireland"",159"
"2016,ERI,""Eritrea"",-,""-"",ITA,""Italy"",48"
"2016,IRN,""Iran (Islamic Rep. of)"",-,""-"",USA,""United States of America"",1786"
"2016,SDN,""Sudan"",-,""-"",NLD,""Netherlands"",2"
"2016,COD,""Dem. Rep. of the Congo"",-,""-"",FIN,""Finland"",196"
"2016,ERI,""Eritrea"",-,""-"",SWE,""Sweden"",269"
"2016,SYR,""Syrian Arab Rep."",-,""-"",BEL,""Belgium"",448"
"2016,IRN,""Iran (Islamic Rep. of)"",-,""-"",NOR,""Norway"",12"
"2016,SYR,""Syrian Arab Rep."",-,""-"",FIN,""Finland"",549"
"2016,SYR,""Syrian Arab Rep."",-,""-"",DEU,""Germany"",1183"
"2016,ERI,""Eritrea"",-,""-"",AUS,""Australia"",162"
"2016,SYR,""Syrian Arab Rep."",-,""-"",IRL,""Ireland"",341"
"2016,SYR,""Syrian Arab Rep."",-,""-"",LVA,""Latvia"",6"
"2016,MMR,""Myanmar"",-,""-"",NZL,""New Zealand"",155"
"2016,SDN,""Sudan"",-,""-"",GBR,""United Kingdom of Great Britain and Northern Ireland"",108"
"2016,SOM,""Somalia"",-,""-"",NZL,""New Zealand"",5"
"2016,IRQ,""Iraq"",-,""-"",NLD,""Netherlands"",13"
"2016,SOM,""Somalia"",-,""-"",FRA,""France"",4"
"2016,ERI,""Eritrea"",-,""-"",CAN,""Canada"",447"
"2016,SDN,""Sudan"",-,""-"",SWE,""Sweden"",34"
"2016,COD,""Dem. Rep. of the Congo"",-,""-"",IRL,""Ireland"",2"
"2016,SYR,""Syrian Arab Rep."",-,""-"",CHE,""Switzerland"",574"
"2016,AFG,""Afghanistan"",-,""-"",FRA,""France"",1"
"2016,SOM,""Somalia"",-,""-"",SWE,""Sweden"",219"
"2016,SYR,""Syrian Arab Rep."",-,""-"",LTU,""Lithuania"",25"
"2016,COD,""Dem. Rep. of the Congo"",-,""-"",NOR,""Norway"",8"
"2016,ERI,""Eritrea"",-,""-"",FIN,""Finland"",4"
"2016,SOM,""Somalia"",-,""-"",NLD,""Netherlands"",3"
"2016,SDN,""Sudan"",-,""-"",AUS,""Australia"",7"
"2016,SOM,""Somalia"",-,""-"",DNK,""Denmark"",9"
"2016,BTN,""Bhutan"",-,""-"",AUS,""Australia"",547"
"2016,SYR,""Syrian Arab Rep."",-,""-"",MCO,""Monaco"",6"
"2016,IRN,""Iran (Islamic Rep. of)"",-,""-"",SWE,""Sweden"",12"
"2016,BTN,""Bhutan"",-,""-"",USA,""United States of America"",5577"
"2016,SYR,""Syrian Arab Rep."",-,""-"",ESP,""Spain"",288"
"2016,SYR,""Syrian Arab Rep."",-,""-"",EST,""Estonia"",11"
"2016,SYR,""Syrian Arab Rep."",-,""-"",USA,""United States of America"",14880"
"2016,COD,""Dem. Rep. of the Congo"",-,""-"",USA,""United States of America"",19502"
"2016,AFG,""Afghanistan"",-,""-"",CAN,""Canada"",282"
"2016,COD,""Dem. Rep. of the Congo"",-,""-"",BEL,""Belgium"",4"
"2016,BTN,""Bhutan"",-,""-"",NOR,""Norway"",4"
"2016,IRQ,""Iraq"",-,""-"",ITA,""Italy"",7"
"2016,SYR,""Syrian Arab Rep."",-,""-"",NZL,""New Zealand"",383"
"2016,MMR,""Myanmar"",-,""-"",CAN,""Canada"",382"
"2016,COD,""Dem. Rep. of the Congo"",-,""-"",GBR,""United Kingdom of Great Britain and Northern Ireland"",204"
"2016,SYR,""Syrian Arab Rep."",-,""-"",SWE,""Sweden"",700"
"2016,IRQ,""Iraq"",-,""-"",FRA,""France"",5"
"2016,SYR,""Syrian Arab Rep."",-,""-"",CAN,""Canada"",17015"
"2016,AFG,""Afghanistan"",-,""-"",FIN,""Finland"",130"
"2016,IRQ,""Iraq"",-,""-"",CHE,""Switzerland"",90"
"2016,MMR,""Myanmar"",-,""-"",JPN,""Japan"",18"
"2016,SYR,""Syrian Arab Rep."",-,""-"",ITA,""Italy"",473"
"2016,AFG,""Afghanistan"",-,""-"",AUS,""Australia"",912"
"2016,ERI,""Eritrea"",-,""-"",DEU,""Germany"",20"
"2016,SOM,""Somalia"",-,""-"",GBR,""United Kingdom of Great Britain and Northern Ireland"",110"
"2016,MMR,""Myanmar"",-,""-"",USA,""United States of America"",10933"
"2016,IRN,""Iran (Islamic Rep. of)"",-,""-"",NZL,""New Zealand"",8"
"2016,AFG,""Afghanistan"",-,""-"",NOR,""Norway"",207"
"2016,ERI,""Eritrea"",-,""-"",NOR,""Norway"",7"
"2016,COD,""Dem. Rep. of the Congo"",-,""-"",SWE,""Sweden"",328"
"2016,ERI,""Eritrea"",-,""-"",GBR,""United Kingdom of Great Britain and Northern Ireland"",31"
"2016,SYR,""Syrian Arab Rep."",-,""-"",GBR,""United Kingdom of Great Britain and Northern Ireland"",4271"
"2016,SYR,""Syrian Arab Rep."",-,""-"",AUT,""Austria"",80"
"2016,COD,""Dem. Rep. of the Congo"",-,""-"",NLD,""Netherlands"",26"
"2016,SDN,""Sudan"",-,""-"",DNK,""Denmark"",5"
"2016,COD,""Dem. Rep. of the Congo"",-,""-"",AUS,""Australia"",514"
"2016,SYR,""Syrian Arab Rep."",-,""-"",NOR,""Norway"",2895"
"2016,MMR,""Myanmar"",-,""-"",AUS,""Australia"",1693"
"2016,SDN,""Sudan"",-,""-"",NOR,""Norway"",8"
"2016,AFG,""Afghanistan"",-,""-"",USA,""United States of America"",2900"
"2016,MMR,""Myanmar"",-,""-"",NOR,""Norway"",1"
"2016,SDN,""Sudan"",-,""-"",FRA,""France"",5"
"2016,SOM,""Somalia"",-,""-"",FIN,""Finland"",10"
"2016,IRQ,""Iraq"",-,""-"",CAN,""Canada"",614"
"2016,COD,""Dem. Rep. of the Congo"",-,""-"",DNK,""Denmark"",24"
"2016,IRN,""Iran (Islamic Rep. of)"",-,""-"",NLD,""Netherlands"",2"
"2016,BTN,""Bhutan"",-,""-"",DNK,""Denmark"",1"
"2016,IRN,""Iran (Islamic Rep. of)"",-,""-"",CAN,""Canada"",198"
"2016,IRQ,""Iraq"",-,""-"",IRL,""Ireland"",15"
"2016,AFG,""Afghanistan"",-,""-"",GBR,""United Kingdom of Great Britain and Northern Ireland"",3"
"2016,SYR,""Syrian Arab Rep."",-,""-"",HUN,""Hungary"",4"
"2016,IRQ,""Iraq"",-,""-"",DNK,""Denmark"",3"
"2016,SOM,""Somalia"",-,""-"",AUS,""Australia"",186"
"2016,BTN,""Bhutan"",-,""-"",NZL,""New Zealand"",58"
"2016,ERI,""Eritrea"",-,""-"",AUT,""Austria"",1"
"2016,SDN,""Sudan"",-,""-"",CAN,""Canada"",155"
"2016,SYR,""Syrian Arab Rep."",-,""-"",DNK,""Denmark"",245"
"2016,SYR,""Syrian Arab Rep."",-,""-"",AUS,""Australia"",1621"
"2016,SYR,""Syrian Arab Rep."",-,""-"",ISL,""Iceland"",56"
"2016,IRN,""Iran (Islamic Rep. of)"",-,""-"",AUS,""Australia"",223"
"2016,SOM,""Somalia"",-,""-"",CAN,""Canada"",294"
"2016,SYR,""Syrian Arab Rep."",-,""-"",NLD,""Netherlands"",582"
"2016,IRQ,""Iraq"",-,""-"",USA,""United States of America"",5222"
"2016,AFG,""Afghanistan"",-,""-"",SWE,""Sweden"",16"
"2016,IRQ,""Iraq"",-,""-"",CZE,""Czechia"",22"
"2016,ERI,""Eritrea"",-,""-"",NLD,""Netherlands"",2"
"2016,IRQ,""Iraq"",-,""-"",AUS,""Australia"",1102"
"2016,COD,""Dem. Rep. of the Congo"",-,""-"",FRA,""France"",12"
"2016,ERI,""Eritrea"",-,""-"",USA,""United States of America"",1805"
"2016,SYR,""Syrian Arab Rep."",-,""-"",LUX,""Luxembourg"",52"
"2016,ERI,""Eritrea"",-,""-"",FRA,""France"",12"
"2016,SYR,""Syrian Arab Rep."",-,""-"",FRA,""France"",1230"
"2016,COD,""Dem. Rep. of the Congo"",-,""-"",CAN,""Canada"",1091"
"2016,IRN,""Iran (Islamic Rep. of)"",-,""-"",FRA,""France"",15"
"2016,SYR,""Syrian Arab Rep."",-,""-"",PRT,""Portugal"",12"
"2016,MMR,""Myanmar"",-,""-"",DNK,""Denmark"",7"
"2016,MMR,""Myanmar"",-,""-"",SWE,""Sweden"",11"
"2016,MMR,""Myanmar"",-,""-"",KOR,""Rep. of Korea"",34"
"2016,SDN,""Sudan"",-,""-"",USA,""United States of America"",1365"
"2016,IRQ,""Iraq"",-,""-"",NZL,""New Zealand"",36"
"2016,SDN,""Sudan"",-,""-"",FIN,""Finland"",29"
"2016,SOM,""Somalia"",-,""-"",IRL,""Ireland"",1"
"2016,BTN,""Bhutan"",-,""-"",NLD,""Netherlands"",2"
"2016,SOM,""Somalia"",-,""-"",USA,""United States of America"",9916"
