Donor	Value
Australia	676.15
Austria	688.42
Belgium	952.10
Bulgaria	58.75
Canada	1148.09
Czech Republic	231.78
Denmark	826.00
Estonia	29.21
Finland	511.87
France	5481.81
Germany	6218.79
Greece	251.69
Hungary	82.78
Iceland	26.97
Ireland	419.45
Israel	50.10
Italy	2984.27
Japan	2642.05
Korea	622.61
Latvia	29.58
Lithuania	47.06
Luxembourg	138.36
Malta	10.39
Netherlands	2014.79
New Zealand	93.10
Norway	1026.96
Poland	520.32
Portugal	254.16
Romania	191.89
Slovak Republic	115.47
Slovenia	54.06
Spain	1868.52
Sweden	2004.06
Switzerland	763.09
Turkey	179.70
United Arab Emirates	184.60
United Kingdom	7074.78
United States	3855.84
