Country;ISO;Donations
Algeria;DZA;100000
Andorra;AND;6173
Argentina                                                                                   ;ARG;430841
Armenia;ARM;49000
Australia;AUS;49873006
Austria;AUT;2398667
Azerbaijan;AZE;3600
Belgium;BEL;23837778
Bosnia and Herzegovina;BIH;3000
Botswana;BWA;15236
Brazil;BRA;892036
Bulgaria;BGR;107025
Canada                                                                               ;CAN;78748445
Chile;CHL;70000
China;CHN;9844846
Costa Rica;CRI;15413
Croatia;HRV;12479
Czechia;CZE;2597536
Denmark;DNK;70017035
Egypt;EGY;25630
Estonia;EST;505667
Finland;FIN;18902514
France;FRA;39830156
Germany                                                                             ;DEU;338763984
Ghana;GHA;1455
Greece;GRC;80969
Holy See;VAT;20000
Hungary;HUN;1430261
Iceland;ISL;752128
India;IND;21483
Indonesia;IDN;475098
Ireland;IRL;14600284
Israel;ISR;100000
Italy;ITA;65165915
Japan                                                                                   ;JPN;144147195
Jordan;JOR;3951
Kazakhstan;KAZ;135974
Kenya;KEN;69820
Kuwait;KWT;40020449
Kyrgyzstan;KGZ;30128
Latvia;LVA;17341
Lebanon;LBN;797370
Liechtenstein                                                                                     ;LIE;304569
Lithuania;LTU;71270
Luxembourg;LUX;8714932
Malaysia;MYS;628067
Malta                                                                                            ;MLT;192145
Mexico;MEX;3794536
Monaco;MCO;506009
Montenegro;MNE;53221
Morocco;MAR;12799
Netherlands;NLD;75549947
New Zealand;NZL;5413497
Nigeria;NGA;42591
Norway                                                                                 ;NOR;88925151
Oman;OMN;56378
Philippines;PHL;1085967
Poland;POL;566098
Portugal;PRT;20000
Qatar;QAT;50851194
Republic of Korea;KOR;61879484
Romania;ROU;112147
Russian Federation;RUS;2000000
Saudi Arabia;SAU;50424187
Senegal;SEN;1777
Serbia;SRB;66667
Singapore;SGP;702226
Slovakia                                                                                     ;SVK;249237
Slovenia;SVN;81881
South Africa;ZAF;14617
Spain;ESP;78654375
Sri Lanka;LKA;15000
Sweden                                                                              ;SWE;156833539
Switzerland;CHE;45847257
Thailand;THA;4353887
Turkey                                                                                          ;TUR;300033
United Arab Emirates;ARE;40249572
United Kingdom                                                                         ;GBR;102112146
United States of America                                                        ;USA;1605809568
Uruguay;URY;30000
;;
;;
