Country;ISO;Budget;Expenditure
Afghanistan;AFG;35933202;16784225
Algeria                                                                   Budget;DZA;36363088;14167520
Angola                                                                    Budget;AGO;31012416;16950488
Argentina;ARG;12731687;10512681
Australia                                                                   Budget;AUS;3055019;2056455
Bangladesh;BGD;220442812;159895165
Belarus;BLR;1591045;1286325
Belgium;BEL;19284431;16327801
Brazil;BRA;15796898;12151125
Burkina Faso;BFA;24147881;13589717
Burundi                                                                  Budget;BDI;32493678;26846607
Cameroon                                                              Budget;CMR;74158771;41889346
Canada;CAN;1836756;1696763
Central African Republic                                      Budget;CAF;9639982;6796906
Chad;TCD;140346387;73034034
China;CHN;4719936;2980193
Colombia;COL;12571882;11029170
Congo Republic of the                                         Budget;COG;20409168;8897448
Costa Rica;CRI;16057012;10799402
Côte d'Ivoire;CIV;3884705;3842999
Democratic Republic of the Congo;COD;107813396;56675298
Djibouti;DJI;26730931;9508942
Ecuador;ECU;21343547;12452143
Egypt                                                                      Budget;EGY;74468653;42821421
Eritrea;ERI;5223224;3886322
Ethiopia;ETH;315288317;148125736
Georgia;GEO;11042657;6866444
Germany;DEU;2733089;2353891
Ghana;GHA;8085878;4421708
Greece;GRC;247271335;236671538
Hungary;HUN;15025357;11388871
India;IND;15633434;5643824
Indonesia;IDN;4984049;4185975
Iraq                                                                         Budget;IRQ;135891731;72248201
Islamic Republic of Iran;IRN;98756622;27875643
Israel                                                                      Budget;ISR;3957076;2776011
Italy;ITA;30832822;24002172
Japan                                                                     Budget;JPN;3430040;2973058
Jordan                                                                   Budget;JOR;274896607;224593201
Kazakhstan;KAZ;4406661;2026440
Kenya;KEN;198605127;109426784
Kyrgyzstan;KGZ;554366;521227
Lebanon                                                                 Budget;LBN;462444318;313241213
Liberia;LBR;11580063;7190576
Libya                                                                            Budget;LBY;74341433;34227951
Malawi                                                                    Budget;MWI;17501336;7713118
Malaysia;MYS;15841742;8175262
Mali;MLI;11212450;7109498
Mauritania                                                             Budget;MRT;20264194;13860248
Mexico;MEX;24309789;16911728
Morocco                                                                 Budget;MAR;7989546;6164710
Mozambique                                                          Budget;MOZ;5626659;3801853
Myanmar;MMR;9780517;2247392
Nepal;NPL;6188108;5470464
Niger;NER;79239374;47779367
Nigeria;NGA;13360279;11301568
Pakistan;PAK;68620451;26681176
Panama;PAN;27001119;19026621
Philippines;PHL;616766;380922
Republic of Korea                                                 Budget;KOR;1654653;1594651
Russian Federation;RUS;5271751;3811390
Rwanda;RWA;95475730;33159109
Saudi Arabia                                                         Budget;SAU;5895669;5097503
Senegal;SEN;34386734;20278622
Somalia;SOM;79066491;33682361
South Africa                                             Budget;ZAF;29123809;16858631
South Sudan;SSD;120077582;85125929
Sri Lanka;LKA;5033776;2674213
Sudan;SDN;218356455;60249503
Sweden;SWE;4903227;3560834
Syrian Arab Republic                                               Budget;SYR;76273992;41331169
Tajikistan;TJK;1568862;1170426
Thailand;THA;28559849;15535123
Tunisia                                                                        Budget;TUN;5694843;4032898
Turkey;TUR;436064688;123088034
Uganda;UGA;415003072;184547919
Ukraine;UKR;6029025;4398284
United Arab Emirates                                          Budget;ARE;4808914;3292456
United Republic of Tanzania;TZA;122592614;51287549
United States of America;USA;23978001;12899215
Venezuela (Bolivarian Republic of);VEN;15480616;6499021
Yemen                                                                    Budget;YEM;95145669;33770397
Zambia                                                                   Budget;ZMB;32279067;14729314
Zimbabwe                                                              Budget;ZWE;7564022;5596789
