Year,Country of Origin (ISO),Country of Origin,Country of Asylum,Country of Asylum (ISO),Country of Resettlement (ISO),Country of Resettlement,Total departures (persons)
"2018,ERI,""Eritrea"",-,""-"",FRA,""France"",148"
"2018,SYR,""Syrian Arab Rep."",-,""-"",FRA,""France"",4193"
"2018,SDN,""Sudan"",-,""-"",CAN,""Canada"",252"
"2018,SYR,""Syrian Arab Rep."",-,""-"",AUS,""Australia"",302"
"2018,SYR,""Syrian Arab Rep."",-,""-"",ISL,""Iceland"",14"
"2018,IRN,""Iran (Islamic Rep. of)"",-,""-"",AUS,""Australia"",96"
"2018,MMR,""Myanmar"",-,""-"",SWE,""Sweden"",2"
"2018,SOM,""Somalia"",-,""-"",CAN,""Canada"",502"
"2018,SYR,""Syrian Arab Rep."",-,""-"",NLD,""Netherlands"",859"
"2018,IRQ,""Iraq"",-,""-"",USA,""United States of America"",33"
"2018,AFG,""Afghanistan"",-,""-"",SWE,""Sweden"",270"
"2018,ERI,""Eritrea"",-,""-"",NLD,""Netherlands"",39"
"2018,IRQ,""Iraq"",-,""-"",AUS,""Australia"",99"
"2018,COD,""Dem. Rep. of the Congo"",-,""-"",FRA,""France"",7"
"2018,ERI,""Eritrea"",-,""-"",USA,""United States of America"",1210"
"2018,COD,""Dem. Rep. of the Congo"",-,""-"",CAN,""Canada"",653"
"2018,IRN,""Iran (Islamic Rep. of)"",-,""-"",FRA,""France"",6"
"2018,SYR,""Syrian Arab Rep."",-,""-"",PRT,""Portugal"",20"
"2018,ERI,""Eritrea"",-,""-"",NZL,""New Zealand"",1"
"2018,ERI,""Eritrea"",-,""-"",CHE,""Switzerland"",61"
"2018,IRN,""Iran (Islamic Rep. of)"",-,""-"",ITA,""Italy"",3"
"2018,SDN,""Sudan"",-,""-"",NLD,""Netherlands"",90"
"2018,SYR,""Syrian Arab Rep."",-,""-"",HRV,""Croatia"",88"
"2018,MMR,""Myanmar"",-,""-"",KOR,""Rep. of Korea"",26"
"2018,SDN,""Sudan"",-,""-"",USA,""United States of America"",56"
"2018,IRN,""Iran (Islamic Rep. of)"",-,""-"",NOR,""Norway"",4"
"2018,IRQ,""Iraq"",-,""-"",NZL,""New Zealand"",7"
"2018,SDN,""Sudan"",-,""-"",FIN,""Finland"",19"
"2018,IRQ,""Iraq"",-,""-"",ISL,""Iceland"",28"
"2018,SOM,""Somalia"",-,""-"",USA,""United States of America"",23"
"2018,IRQ,""Iraq"",-,""-"",SWE,""Sweden"",43"
"2018,SDN,""Sudan"",-,""-"",CHE,""Switzerland"",5"
"2018,AFG,""Afghanistan"",-,""-"",NZL,""New Zealand"",88"
"2018,BTN,""Bhutan"",-,""-"",CAN,""Canada"",11"
"2018,IRQ,""Iraq"",-,""-"",GBR,""United Kingdom of Great Britain and Northern Ireland"",338"
"2018,SOM,""Somalia"",-,""-"",CHE,""Switzerland"",10"
"2018,ERI,""Eritrea"",-,""-"",ITA,""Italy"",60"
"2018,IRN,""Iran (Islamic Rep. of)"",-,""-"",USA,""United States of America"",11"
"2018,COD,""Dem. Rep. of the Congo"",-,""-"",FIN,""Finland"",128"
"2018,ERI,""Eritrea"",-,""-"",SWE,""Sweden"",376"
"2018,IRQ,""Iraq"",-,""-"",DEU,""Germany"",1"
"2018,SYR,""Syrian Arab Rep."",-,""-"",BEL,""Belgium"",816"
"2018,ERI,""Eritrea"",-,""-"",FIN,""Finland"",59"
"2018,SOM,""Somalia"",-,""-"",NLD,""Netherlands"",24"
"2018,SYR,""Syrian Arab Rep."",-,""-"",FIN,""Finland"",366"
"2018,SYR,""Syrian Arab Rep."",-,""-"",DEU,""Germany"",2929"
"2018,ERI,""Eritrea"",-,""-"",AUS,""Australia"",251"
"2018,IRQ,""Iraq"",-,""-"",BEL,""Belgium"",1"
"2018,SYR,""Syrian Arab Rep."",-,""-"",IRL,""Ireland"",333"
"2018,MMR,""Myanmar"",-,""-"",NZL,""New Zealand"",229"
"2018,SOM,""Somalia"",-,""-"",BEL,""Belgium"",10"
"2018,SDN,""Sudan"",-,""-"",GBR,""United Kingdom of Great Britain and Northern Ireland"",227"
"2018,SOM,""Somalia"",-,""-"",NZL,""New Zealand"",15"
"2018,IRN,""Iran (Islamic Rep. of)"",-,""-"",GBR,""United Kingdom of Great Britain and Northern Ireland"",25"
"2018,IRQ,""Iraq"",-,""-"",NLD,""Netherlands"",5"
"2018,SOM,""Somalia"",-,""-"",FRA,""France"",49"
"2018,ERI,""Eritrea"",-,""-"",CAN,""Canada"",935"
"2018,SDN,""Sudan"",-,""-"",SWE,""Sweden"",211"
"2018,SYR,""Syrian Arab Rep."",-,""-"",CHE,""Switzerland"",995"
"2018,SOM,""Somalia"",-,""-"",SWE,""Sweden"",55"
"2018,SYR,""Syrian Arab Rep."",-,""-"",LTU,""Lithuania"",18"
"2018,COD,""Dem. Rep. of the Congo"",-,""-"",NOR,""Norway"",663"
"2018,SYR,""Syrian Arab Rep."",-,""-"",ARG,""Argentina"",3"
"2018,MMR,""Myanmar"",-,""-"",CAN,""Canada"",100"
"2018,BTN,""Bhutan"",-,""-"",AUS,""Australia"",253"
"2018,IRN,""Iran (Islamic Rep. of)"",-,""-"",SWE,""Sweden"",14"
"2018,BTN,""Bhutan"",-,""-"",USA,""United States of America"",653"
"2018,SYR,""Syrian Arab Rep."",-,""-"",ESP,""Spain"",80"
"2018,SYR,""Syrian Arab Rep."",-,""-"",SVN,""Slovenia"",34"
"2018,IRQ,""Iraq"",-,""-"",NOR,""Norway"",4"
"2018,SYR,""Syrian Arab Rep."",-,""-"",EST,""Estonia"",29"
"2018,SYR,""Syrian Arab Rep."",-,""-"",USA,""United States of America"",29"
"2018,COD,""Dem. Rep. of the Congo"",-,""-"",USA,""United States of America"",8915"
"2018,SYR,""Syrian Arab Rep."",-,""-"",BGR,""Bulgaria"",21"
"2018,AFG,""Afghanistan"",-,""-"",CAN,""Canada"",100"
"2018,COD,""Dem. Rep. of the Congo"",-,""-"",BEL,""Belgium"",34"
"2018,SYR,""Syrian Arab Rep."",-,""-"",NZL,""New Zealand"",230"
"2018,COD,""Dem. Rep. of the Congo"",-,""-"",GBR,""United Kingdom of Great Britain and Northern Ireland"",281"
"2018,SYR,""Syrian Arab Rep."",-,""-"",SWE,""Sweden"",2791"
"2018,IRQ,""Iraq"",-,""-"",FRA,""France"",2"
"2018,SYR,""Syrian Arab Rep."",-,""-"",CAN,""Canada"",3045"
"2018,AFG,""Afghanistan"",-,""-"",FIN,""Finland"",6"
"2018,SDN,""Sudan"",-,""-"",ITA,""Italy"",14"
"2018,IRQ,""Iraq"",-,""-"",CHE,""Switzerland"",1"
"2018,MMR,""Myanmar"",-,""-"",JPN,""Japan"",22"
"2018,SYR,""Syrian Arab Rep."",-,""-"",ITA,""Italy"",314"
"2018,COD,""Dem. Rep. of the Congo"",-,""-"",NLD,""Netherlands"",135"
"2018,AFG,""Afghanistan"",-,""-"",AUS,""Australia"",147"
"2018,ERI,""Eritrea"",-,""-"",DEU,""Germany"",238"
"2018,SOM,""Somalia"",-,""-"",GBR,""United Kingdom of Great Britain and Northern Ireland"",130"
"2018,MMR,""Myanmar"",-,""-"",USA,""United States of America"",3588"
"2018,IRN,""Iran (Islamic Rep. of)"",-,""-"",NZL,""New Zealand"",8"
"2018,SOM,""Somalia"",-,""-"",FIN,""Finland"",8"
"2018,ERI,""Eritrea"",-,""-"",BEL,""Belgium"",33"
"2018,ERI,""Eritrea"",-,""-"",NOR,""Norway"",7"
"2018,COD,""Dem. Rep. of the Congo"",-,""-"",SWE,""Sweden"",601"
"2018,ERI,""Eritrea"",-,""-"",GBR,""United Kingdom of Great Britain and Northern Ireland"",109"
"2018,SYR,""Syrian Arab Rep."",-,""-"",GBR,""United Kingdom of Great Britain and Northern Ireland"",4297"
