type,lat,long
b,16.5294,42.9676
b,13.5582,44.0163
b,16.5294,42.9676
b,32.8133,13.2697
b,13.1667,43.7333
b,16.5258,43.1444
b,15.8500,44.6167
b,16.6915,42.9930
b,14.4151,44.8371
b,15.8500,44.7750
b,25.9846,63.3517
b,14.1057,45.4481
b,31.1316,33.7984
b,14.6004,44.6398
b,4.7360,45.2043
b,15.4584,45.3864
b,13.4606,44.0204
b,4.7360,45.2043
b,13.1365,24.1493
b,13.2781,24.4475
b,1.7131,44.7639
b,13.2560,24.1547
b,-1.4280,28.0730
b,2.3385,42.2843
b,12.9888,43.4733
b,2.4865,42.5725
b,16.6836,43.1822
b,16.8892,42.5511
b,15.2263,44.4824
b,11.2500,13.4167
b,13.5829,44.3477
b,13.8874,45.7740
b,13.5703,43.8681
b,16.7825,43.2297
b,13.5810,43.9821
b,12.9888,43.4733
b,4.7360,45.2043
b,6.7697,47.4308
b,5.3397,20.7308
b,1.7878,44.5300
b,26.5921,12.7805
b,9.3167,42.1167
b,9.2167,42.3333
b,14.5333,45.0667
b,13.5902,43.9944
b,-1.4280,28.0730
b,13.9667,44.6833
b,13.1345,43.7864
b,16.7825,43.2297
b,15.4492,45.0694
b,14.7500,45.7333
b,11.8464,13.1603
b,13.5784,43.9944
b,13.9667,44.6833
b,16.1641,44.7769
b,12.9431,43.4103
b,1.6298,44.5196
b,2.0205,45.2897
b,2.0844,45.3900
b,13.5858,43.9979
b,11.5221,13.6856
b,8.1333,42.3000
b,14.0903,44.6701
b,15.4025,44.2072
b,12.9888,43.4733
b,14.0903,44.6701
b,14.8007,45.7189
b,2.8090,44.8181
b,13.5799,44.0045
b,13.2127,44.1241
b,-3.4673,29.4770
b,2.7622,42.8868
b,5.8958,46.9125
b,-17.3269,35.5842
b,-1.0354,41.5005
b,14.1038,45.6267
b,15.4200,45.1046
b,13.1220,43.6788
b,17.5760,43.3246
b,14.5333,45.0667
b,15.4584,45.3864
b,0.7000,29.5167
b,6.2936,42.6083
b,15.4493,45.0189
b,14.0899,43.9820
b,1.5208,44.4295
b,14.0851,45.8010
b,16.7619,42.9222
b,-3.4168,29.3700
b,3.1685,42.4947
b,13.9936,44.3220
b,12.6769,43.4619
b,2.4978,42.8275
b,2.4865,42.5725
b,2.3385,42.2843
b,12.8970,11.9304
b,2.3385,42.2843
b,14.0030,44.2779
b,16.4316,42.9390
b,8.2561,44.1567
b,-19.0883,33.6486
b,-0.2488,42.6007
b,7.2167,42.7000
b,14.7378,43.9649
b,15.4136,45.2788
b,13.5238,43.9418
b,3.1500,41.3300
b,11.6621,14.0201
b,3.5392,43.7579
b,23.4579,97.9380
b,9.7858,42.7753
b,3.1966,43.3427
b,16.7818,43.2157
b,2.6295,44.6977
b,7.6610,42.8343
b,6.9744,45.3408
b,3.5904,45.5598
b,16.8406,43.1848
b,13.9667,45.4833
b,14.7978,42.9545
b,7.7258,30.2480
b,16.3190,43.7679
b,13.9692,43.9967
b,12.8870,44.9844
b,26.5444,97.5692
b,5.7648,20.6542
b,2.0844,45.3900
b,3.5172,42.2341
b,20.1667,17.9500
b,8.1333,42.3000
b,8.1333,42.3000
b,16.8892,42.5511
b,14.1491,45.4692
b,13.9692,43.9967
b,13.9667,44.2500
b,0.5172,42.0710
b,17.3000,49.9167
b,13.9877,44.2749
b,11.0840,13.6925
b,4.7360,45.2043
b,11.5019,34.1501
b,17.6723,43.5236
b,13.9408,44.1773
b,32.1358,20.0785
b,14.5377,46.8319
b,14.2197,44.5866
b,13.5324,43.9959
b,12.3315,14.5712
b,14.5115,44.0151
b,13.9408,44.1773
b,13.1524,43.9259
b,13.9408,44.1773
