mapcolor8,iso_n3
6.000000,"004"
2.000000,"024"
4.000000,"008"
1.000000,"784"
1.000000,"032"
1.000000,"051"
5.000000,"010"
5.000000,"260"
2.000000,"036"
1.000000,"040"
6.000000,"031"
2.000000,"108"
2.000000,"056"
2.000000,"204"
1.000000,"854"
4.000000,"050"
5.000000,"100"
1.000000,"044"
1.000000,"070"
1.000000,"112"
4.000000,"084"
5.000000,"068"
6.000000,"076"
6.000000,"096"
6.000000,"064"
5.000000,"072"
6.000000,"140"
6.000000,"124"
2.000000,"756"
1.000000,"152"
4.000000,"156"
6.000000,"384"
4.000000,"120"
4.000000,"180"
1.000000,"178"
1.000000,"170"
2.000000,"188"
5.000000,"192"
1.000000,"-99"
2.000000,"196"
1.000000,"203"
5.000000,"276"
2.000000,"262"
1.000000,"208"
2.000000,"214"
1.000000,"012"
5.000000,"218"
6.000000,"818"
1.000000,"232"
5.000000,"724"
2.000000,"233"
4.000000,"231"
1.000000,"246"
1.000000,"242"
6.000000,"238"
7.000000,"250"
2.000000,"266"
6.000000,"826"
1.000000,"268"
3.000000,"288"
3.000000,"324"
4.000000,"270"
5.000000,"624"
1.000000,"226"
2.000000,"300"
1.000000,"304"
3.000000,"320"
1.000000,"328"
5.000000,"340"
4.000000,"191"
1.000000,"332"
6.000000,"348"
6.000000,"360"
3.000000,"356"
3.000000,"372"
3.000000,"364"
4.000000,"368"
4.000000,"352"
2.000000,"376"
7.000000,"380"
2.000000,"388"
3.000000,"400"
3.000000,"392"
1.000000,"398"
2.000000,"404"
7.000000,"417"
3.000000,"116"
1.000000,"410"
2.000000,"-99"
2.000000,"414"
1.000000,"418"
4.000000,"422"
3.000000,"430"
2.000000,"434"
5.000000,"144"
5.000000,"426"
3.000000,"440"
7.000000,"442"
7.000000,"428"
2.000000,"504"
5.000000,"498"
5.000000,"450"
1.000000,"484"
3.000000,"807"
4.000000,"466"
2.000000,"104"
1.000000,"499"
5.000000,"496"
2.000000,"508"
3.000000,"478"
3.000000,"454"
4.000000,"458"
1.000000,"516"
5.000000,"540"
5.000000,"562"
2.000000,"566"
4.000000,"558"
2.000000,"528"
3.000000,"578"
2.000000,"524"
3.000000,"554"
4.000000,"512"
2.000000,"586"
4.000000,"591"
4.000000,"604"
2.000000,"608"
2.000000,"598"
7.000000,"616"
5.000000,"630"
5.000000,"408"
7.000000,"620"
3.000000,"600"
2.000000,"275"
6.000000,"634"
4.000000,"642"
5.000000,"643"
2.000000,"646"
7.000000,"732"
1.000000,"682"
6.000000,"729"
3.000000,"728"
6.000000,"686"
4.000000,"090"
4.000000,"694"
4.000000,"222"
6.000000,"-99"
8.000000,"706"
3.000000,"688"
4.000000,"740"
4.000000,"703"
3.000000,"705"
4.000000,"752"
6.000000,"748"
6.000000,"760"
1.000000,"148"
1.000000,"768"
6.000000,"764"
6.000000,"762"
2.000000,"795"
2.000000,"626"
6.000000,"780"
3.000000,"788"
3.000000,"792"
5.000000,"158"
6.000000,"834"
3.000000,"800"
1.000000,"804"
2.000000,"858"
5.000000,"840"
3.000000,"860"
3.000000,"862"
6.000000,"704"
3.000000,"548"
3.000000,"887"
3.000000,"710"
8.000000,"894"
5.000000,"716"
