ADM0_A3,NAME,HDI,Years_school,Pop_mil,Surface_sqkm,Pop_below_550_day,environ,id,iso_n3,refugees,flow_out
VAT,Vatican,0,0,0,0,0,0,336,0,0,0
VUT,Vanuatu,0.603,6.8,0.3,12.2,72.3,0.1,548,548,0,0
FSM,Micronesia,0.627,8,0.1,0.7,69.1,1.3,583,0,0,0
MHL,Marshall Is.,0.708,10.9,0.1,0.2,0,0.1,584,0,0,0
MNP,N. Mariana Is.,0,0,0,0,0,0,580,0,0,0
VIR,U.S. Virgin Is.,0,0,0,0,0,0,850,0,0,0
GUM,Guam,0,0,0,0,0,0,316,0,0,0
ASM,American Samoa,0,0,0,0,0,0,16,0,0,0
PRI,Puerto Rico,0,0,0,0,0,0,630,630,0,0
SGS,S. Geo. and the Is.,0,0,0,0,0,0,239,0,0,0
IOT,Br. Indian Ocean Ter.,0,0,0,0,0,0,86,0,0,0
SHN,Saint Helena,0,0,0,0,0,0,654,0,0,0
PCN,Pitcairn Is.,0,0,0,0,0,0,612,0,0,0
AIA,Anguilla,0,0,0,0,0,0,660,0,1,0
FLK,Falkland Is.,0,0,0,0,0,0,238,238,0,0
CYM,Cayman Is.,0,0,0,0,0,0,136,0,33,0
BMU,Bermuda,0,0,0,0,0,0,060,0,0,0
VGB,British Virgin Is.,0,0,0,0,0,0,092,0,1,0
TCA,Turks and Caicos Is.,0,0,0,0,0,0,796,0,5,0
MSR,Montserrat,0,0,0,0,0,0,500,0,0,0
JEY,Jersey,0,0,0,0,0,0,832,0,0,0
GGY,Guernsey,0,0,0,0,0,0,831,0,0,0
IMN,Isle of Man,0,0,0,0,0,0,833,0,0,0
TON,Tonga,0.726,11.2,0.1,0.8,27.5,0,776,0,0,0
TWN,Taiwan,0,0,0,0,0,0,158,158,0,0
CHE,Switzerland,0.944,13.4,8.5,41.3,0,0,756,756,98530,0
SOL,Somaliland,0,0,0,0,0,0,-99,-99,0,0
SLB,Solomon Is.,0.546,5.5,0.6,28.9,84.7,0.1,90,90,0,0
SGP,Singapore,0.932,11.5,5.6,0.7,0,0,702,0,0,0
SYC,Seychelles,0.797,9.5,0.1,0.5,6.6,0.1,690,0,0,0
STP,S����_o Tom����_ and Principe,0.589,6.3,0.2,1,92.3,0,678,0,0,0
SMR,San Marino,0,0,0,0.1,0,0,674,0,0,0
WSM,Samoa,0.713,10.3,0.2,2.8,33.9,0,882,0,3,0
VCT,St. Vin. and Gren.,0.723,8.6,0.1,0.4,0,0,670,0,0,0
LCA,Saint Lucia,0.747,8.9,0.2,0.6,20.3,0,662,0,2,0
KNA,St. Kitts and Nevis,0.778,8.4,0.1,0.3,0,0,659,0,0,0
PLW,Palau,0.798,12.3,0,0.5,0,0,585,0,0,0
NOR,Norway,0.953,12.6,5.3,625.2,0.2,0,578,578,58107,0
NIU,Niue,0,0,0,0,0,0,570,0,0,0
COK,Cook Is.,0,0,0,0,0,0,184,0,0,0
ABW,Aruba,0,0,0,0,0,0,533,0,1,0
CUW,Cura���_ao,0,0,0,0,0,0,531,0,0,0
NRU,Nauru,0,0,0,0,0,0,520,0,687,0
