name,total,m_total,f_total,f_0-4,f_5-11,f_18-59,f_12-17,f_5-17,f_60+,f_unknown,m_0-4,m_12-17,m_18-59,m_5-11,m_5-17,m_60+,m_unknown,admin_id
Afghanistan,2684962,1344472,1340490,271117,282471,515759,215064,,56079,,269236,230317,485435,296291,,63193,,4
Albania,1648,871,777,241,217,257,55,,0,,285,47,338,185,,5,,8
Algeria,9270,5815,3455,600,655,1756,379,,65,,643,502,3863,733,,70,,12
Angola,23677,11742,11935,2558,2824,4910,1468,,175,,2442,1428,4915,2682,,275,,24
Argentina,7362,4629,2733,65,127,2185,140,,216,,90,146,3992,160,,241,,32
Armenia,3499,1714,1804,72,109,1056,101,,461,,72,126,1099,106,,308,,51
Aruba,407,216,191,13,15,145,9,,9,,7,11,180,18,,0,,533
Azerbaijan,1131,680,451,40,74,259,66,,12,,57,73,423,89,,38,,31
Bahamas,42,29,13,,0,9,0,,0,,0,0,25,0,,,,44
Bahrain,319,167,152,5,25,101,14,,7,,10,13,106,20,,18,,48
Bangladesh,906678,433138,473540,82740,99365,214263,61258,,15903,,85552,61846,166852,104776,,14102,,50
Belarus,208,139,76,0,0,57,0,,0,,0,0,123,0,,0,,112
Benin,1494,824,670,55,77,451,70,,17,,58,79,580,95,,12,,204
Bosnia and Herz.,6329,2957,3372,76,96,2182,184,,834,,86,215,2208,83,,364,,70
Botswana,3912,2380,1532,201,312,784,204,,31,,239,216,1538,325,,62,,72
Burkina Faso,72195,34950,37245,6122,9354,14994,5429,,1346,,6230,6028,11536,9736,,1420,,854
Burundi,156226,75666,80560,12815,17462,33718,14324,,2240,,12852,13407,30384,17004,,2018,,108
Cameroon,388382,184298,204128,31734,48420,88498,28125,,7123,,32987,28076,67751,47930,,7326,,120
Canada,73840,38659,35181,3344,5829,20340,4085,,1583,,3364,4234,23378,6304,,1379,,124
Central African Rep.,7057,3528,3529,531,844,1643,410,,96,,516,498,1613,791,,108,,140
Chad,661521,312463,349058,52560,73268,150098,52978,,20133,,51908,62521,101764,78853,,17386,,148
Chile,1971,1099,872,39,65,699,47,,22,,54,50,887,93,,15,,152
Colombia,3048,1656,1401,119,182,918,106,,29,,151,107,1160,152,,30,,170
Congo,59093,30589,28504,4293,5868,14001,3618,,715,,4203,3498,17189,4958,,734,,178
Croatia,958,658,308,27,45,180,47,,0,,36,56,492,58,,0,,191
Cuba,270,233,64,5,0,43,0,,0,,0,5,210,11,,0,,192
C¥Ë_te d'Ivoire,4969,0,0,,,,,,,,,,,,,,,384
Dem. Rep. Congo,5055756,2334905,2720863,548004,686667,971964,373818,,140265,,546735,386148,789749,502221,,109887,,180
Djibouti,28778,14710,14068,1851,2872,6847,1999,,499,,1872,2086,7231,3030,,491,,262
Dominican Rep.,503,246,257,25,26,167,14,,25,,27,7,148,21,,43,,214
Ecuador,21784,11488,10296,864,1202,7072,926,,232,,907,961,8057,1359,,204,,218
Egypt,244931,127810,117121,11826,19785,67100,13981,,4402,,12494,15905,74192,20683,,4503,,818
El Salvador,66,41,25,,0,13,5,,,,,0,32,0,,,,222
Eritrea,2273,1205,1068,135,238,449,219,,17,,152,223,509,285,,26,,232
Ethiopia,870031,434199,435832,61761,111446,182245,69882,,10498,,63877,81707,166616,113833,,8166,,231
Fiji,17,6,11,0,0,6,0,,0,,0,0,0,0,,0,,242
Gabon,738,422,331,0,31,222,33,,11,,6,25,276,37,,42,,266
Gambia,4382,2134,2248,214,458,1070,392,,110,,255,375,868,473,,161,,270
Georgia,285624,133951,151673,11270,16951,79723,10632,,33097,,11750,11693,71449,18129,,20930,,268
Germany,1447900,918639,529261,70812,73672,304098,56291,,24388,,74616,70494,659049,90530,,23950,,276
Ghana,13215,7040,6175,513,986,3660,765,,236,,524,760,4513,1032,,193,,288
Guinea,5878,2889,2989,400,491,1594,450,,51,,311,465,1594,460,,55,,324
India,39041,20479,18562,2412,3096,10218,2234,,602,,2584,2432,11391,3400,,672,,356
Indonesia,14016,9588,4428,568,753,2489,486,,113,,718,716,7229,806,,100,,360
