name,Afghanistan,Albania,Algeria,Angola,Argentina,Armenia,Aruba,Azerbaijan,Bahamas,Bahrain,Bangladesh,Belarus,Benin,Bosnia and Herz.,Botswana,Burkina Faso,Burundi,Cameroon,Canada,Central African Rep.,Chad,Chile,Colombia,Congo,Croatia,Cuba,C•À_te d'Ivoire,Dem. Rep. Congo,Djibouti,Dominican Rep.,Ecuador,Egypt,El Salvador,Eritrea,Ethiopia,Fiji,Gabon,Gambia,Georgia,Germany,Ghana,Guinea,India,Indonesia,Iran,Iraq,Ireland,Jamaica,Jordan,Kazakhstan,Kenya,Kuwait,Kyrgyzstan,Lebanon,Lesotho,Liberia,Libya,Madagascar,Malawi,Malaysia,Mali,Mauritania,Mauritius,Mexico,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nepal,Nicaragua,Niger,Nigeria,Oman,Pakistan,Peru,Philippines,Poland,Qatar,Korea,Moldova,Romania,Rwanda,Saudi Arabia,Senegal,Serbia,Slovakia,Slovenia,Somalia,S. Sudan,Sri Lanka,Sudan,Swaziland,Switzerland,Syria,Tajikistan,Thailand,Macedonia,Togo,Tunisia,Turkey,Turkmenistan,Uganda,Ukraine,United Arab Emirates,Tanzania,Uruguay,Uzbekistan,Venezuela,Yemen,Zambia,Zimbabwe
total,2684962,1648,9270,23677,7362,3499,407,1131,42,319,906678,208,1494,6329,3912,72195,156226,388382,73840,7057,661521,1971,3048,59093,958,270,4969,5055756,28778,503,21784,244931,66,2273,870031,17,738,4382,285624,1447900,13215,5878,39041,14016,29767,296884,12064,37,769256,762,471724,1670,443,969641,95,9160,56208,150,37244,163111,31578,58322,15,23849,14,12771,7775,34390,239749,3935,21406,326,310403,34219,564,1589038,230898,1863,1260,282,22688,522,4157,152572,2436,16069,228270,2489,618,2768974,294383,2918,1018612,1629,61454,37460,3847,103287,946,13035,1317,3993401,12,1190922,6408,7782,337005,6815,14,67431,2551501,76027,18869
m_total,1344472,871,5815,11742,4629,1714,216,680,29,167,433138,139,824,2957,2380,34950,75666,184298,38659,3528,312463,1099,1656,30589,658,233,0,2334905,14710,246,11488,127810,41,1205,434199,6,422,2134,133951,918639,7040,2889,20479,9588,15446,156842,7655,26,388616,413,240510,843,267,464651,60,4702,34236,95,20068,109333,15730,27169,7,14270,9,6459,4919,21092,113751,2232,10465,146,145964,15258,280,852369,139072,1082,629,137,16997,351,2683,74262,1265,7973,111079,1673,417,1369304,139446,1610,489219,1021,37234,18236,1406,51564,483,5930,775,2198813,11,569630,5344,3944,171255,4647,7,35062,1281337,40004,9758
f_total,1340490,777,3455,11935,2733,1804,191,451,13,152,473540,76,670,3372,1532,37245,80560,204128,35181,3529,349058,872,1401,28504,308,64,0,2720863,14068,257,10296,117121,25,1068,435832,11,331,2248,151673,529261,6175,2989,18562,4428,14332,140119,4409,11,380640,349,231214,827,176,504990,35,4458,21972,55,17176,53778,15854,31153,8,9579,5,6312,2856,13298,125998,1703,10941,180,164439,18961,284,736669,91826,821,631,145,5691,171,1474,78310,1171,8096,117191,816,201,1399670,154937,1308,529393,608,24220,19230,2446,51723,487,7105,542,1794588,6,621292,1064,3838,165750,2168,7,32369,1270164,36023,9111
f_0-4,271117,241,600,2558,65,72,13,40,,5,82740,0,55,76,201,6122,12815,31734,3344,531,52560,39,119,4293,27,5,,548004,1851,25,864,11826,,135,61761,0,0,214,11270,70812,513,400,2412,568,1856,21288,368,0,49266,27,31712,27,18,74584,,416,1093,,2987,9804,1782,5075,0,754,0,0,350,1331,12826,294,284,,22575,2668,8,94093,3567,29,91,,246,,155,12489,183,829,2209,6,11,350397,28365,91,73509,70,2923,2418,47,4664,15,1365,39,299104,0,111887,56,474,33051,53,0,4833,162275,5297,989
f_5-11,282471,217,655,2824,127,109,15,74,0,25,99365,0,77,96,312,9354,17462,48420,5829,844,73268,65,182,5868,45,0,,686667,2872,26,1202,19785,0,238,111446,0,31,458,16951,73672,986,491,3096,753,2553,23261,499,0,75591,44,52667,99,21,120216,7,1052,3868,11,3835,6440,4094,7249,0,1166,0,245,485,1644,18119,343,496,0,45514,3672,51,164517,4199,124,180,21,214,20,241,15182,247,1931,8199,25,46,308295,38534,196,124823,116,3314,4066,385,8767,42,1626,77,335239,0,154300,102,817,34951,70,0,6469,239492,8204,1317
f_18-59,515759,257,1756,4910,2185,1056,145,259,9,101,214263,57,451,2182,784,14994,33718,88498,20340,1643,150098,699,918,14001,180,43,,971964,6847,167,7072,67100,13,449,182245,6,222,1070,79723,304098,3660,1594,10218,2489,6416,75553,3115,9,185687,215,102111,537,110,228536,22,2043,13394,33,7467,33149,7035,13266,8,6758,,4005,1627,5051,65509,825,9417,154,69786,9602,166,337379,80510,526,266,83,5031,105,877,36642,565,3683,62250,736,120,563854,60536,760,231451,355,14941,8996,1611,27955,294,3107,288,888813,6,235671,771,1916,68868,1950,,11370,579181,15830,5781
f_12-17,215064,55,379,1468,140,101,9,66,0,14,61258,0,70,184,204,5429,14324,28125,4085,410,52978,47,106,3618,47,0,,373818,1999,14,926,13981,5,219,69882,0,33,392,10632,56291,765,450,2234,486,2821,14176,317,0,50140,43,38463,100,20,67288,0,746,2691,5,2603,3567,2470,4264,0,706,0,299,332,1084,17544,219,412,8,21094,2223,40,112309,2450,55,80,20,129,18,145,10923,133,1215,8902,45,21,161110,23681,111,73557,61,2089,2726,331,7257,60,698,52,209256,0,98219,71,481,24060,64,0,8073,239153,5553,915
f_5-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f_60+,56079,0,65,175,216,461,9,12,0,7,15903,0,17,834,31,1346,2240,7123,1583,96,20133,22,29,715,0,0,,140265,499,25,232,4402,,17,10498,0,11,110,33097,24388,236,51,602,113,650,5709,110,0,19956,12,6261,64,7,14366,0,192,926,,284,818,457,1299,0,195,0,1721,62,4170,11995,22,324,11,5466,792,19,28364,1100,75,0,18,23,25,56,3065,43,424,35619,,,16014,3818,135,26051,,953,1000,71,3075,38,309,16,62154,0,21215,64,150,4817,31,,1624,50063,1139,105
f_unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
